Country,Total Earning by Player,Percentage of Country Total Earning,Team
United States,"$6,608,262.09",17.62%,Team Liquid
Germany,"$5,325,911.27",14.20%,Team Liquid
Bulgaria,"$4,534,754.00",12.09%,Team Liquid
Finland,"$4,302,492.00",11.47%,Team Liquid
Jordan,"$4,068,404.40",10.85%,Team Liquid
Lebanon,"$4,063,004.40",10.83%,Team Liquid
Canada,"$1,863,646.21",4.97%,Team Liquid
Brazil,"$1,310,872.90",3.49%,Team Liquid
"Korea, Republic of","$938,630.45",2.50%,Team Liquid
Romania,"$929,373.27",2.48%,Team Liquid
Norway,"$696,061.07",1.86%,Team Liquid
Netherlands,"$533,009.49",1.42%,Team Liquid
Sweden,"$423,358.18",1.13%,Team Liquid
Denmark,"$308,110.50",0.82%,Team Liquid
United Kingdom,"$186,636.81",0.50%,Team Liquid
Philippines,"$142,458.50",0.38%,Team Liquid
Spain,"$134,547.98",0.36%,Team Liquid
Ukraine,"$123,931.75",0.33%,Team Liquid
Gibraltar,"$122,100.00",0.33%,Team Liquid
Poland,"$115,605.55",0.31%,Team Liquid
France,"$115,104.54",0.31%,Team Liquid
Mexico,"$70,250.00",0.19%,Team Liquid
Japan,"$40,837.41",0.11%,Team Liquid
Croatia,"$40,500.00",0.11%,Team Liquid
Russian Federation,"$37,500.00",0.10%,Team Liquid
Belgium,"$32,524.22",0.09%,Team Liquid
Australia,"$27,500.00",0.07%,Team Liquid
Hong Kong,"$19,878.82",0.05%,Team Liquid
Portugal,"$10,324.26",0.03%,Team Liquid
China,"$7,000.00",0.02%,Team Liquid
Venezuela,"$6,000.00",0.02%,Team Liquid
Latvia,"$6,000.00",0.02%,Team Liquid
Italy,"$3,599.99",0.01%,Team Liquid
Finland,"$11,691,002.73",33.84%,OG
Denmark,"$7,511,544.49",21.74%,OG
Australia,"$5,976,645.23",17.30%,OG
France,"$5,601,915.56",16.21%,OG
Israel,"$1,288,398.00",3.73%,OG
Jordan,"$716,488.93",2.07%,OG
Sweden,"$670,132.40",1.94%,OG
Canada,"$611,005.60",1.77%,OG
Poland,"$124,783.33",0.36%,OG
"Macedonia, The Former Yugoslav Republic of","$89,571.40",0.26%,OG
