Carrera,Sexo,Consumidor,Pago,Producto,Asequibilidad,Variedad y calidad,Gasto promedio,Alcancia diaria,Gasto diario,Estatura,Peso,Edad,Consumo diario,Preferencia
Ingeniería Mecatrónica,Hombre,Sí,App,Bebidas frías y gaseosas,3,4,10,20,10,1.8,85,18,4,Productos salados
Bioingeniería,Mujer,Sí,Efectivo,Snacks,3,4,4,8,6,1.7,64,18,2,Productos dulces
Bioingeniería,Mujer,Sí,Efectivo,Bebidas frías y gaseosas,3,4,5,20,5,1.6,68,19,1,Productos dulces
Ingeniería Mecatrónica,Hombre,Sí,Efectivo,Bebidas calientes,3,5,5.5,30,5.5,1.85,98,18,1,Productos dulces
Ingeniería Ambiental,Hombre,Sí,Efectivo,Snacks,3,4,5,20,3.5,1.75,72,19,3,Productos salados
Ingeniería Mecatrónica,Hombre,Sí,App,Bebidas frías y gaseosas,3,4,5,15,10,1.77,68,21,1,Productos dulces
Bioingeniería,Mujer,Sí,Tarjeta,Snacks,2,5,3.5,25,5,1.57,49,20,2,Productos salados
Bioingeniería,Mujer,Sí,Tarjeta,Snacks,4,4,15,30,10,1.64,53,17,2,Productos dulces
Ingeniería Mecatrónica,Mujer,Sí,Efectivo,Bebidas calientes,4,4,2,15,2,1.54,58.1,18,1,Productos salados
Ingeniería Mecatrónica,Hombre,Sí,Efectivo,Snacks,2,5,5,20,7,1.71,70,20,3,Productos dulces
Ciencia de la Computación,Hombre,Sí,Efectivo y app,Bebidas frías y gaseosas,5,4,5,15,5,1.78,64.8,18,2,Productos dulces
Ingeniería Mecatrónica,Hombre,Sí,Tarjeta,Bebidas calientes,3,4,2,50,10,1.7,78,19,1,Productos salados
Ingeniería Mecatrónica,Hombre,Sí,Efectivo,Snacks,2,4,13,60,20,1.79,79,18,3,Productos salados
Ingeniería Mecatrónica,Hombre,Sí,App,Snacks,3,4,5,15,15,1.7,68,18,2,Productos dulces
Ingeniería de la Energía,Hombre,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingeniería Mecatrónica,Hombre,Sí,Tarjeta,Snacks,4,5,10,30,10,1.78,87,21,3,Productos salados
Ingeniería de la Energía,Hombre,Sí,Tarjeta,Snacks,3,3,10,100,2,1.54,60,21,0,Productos dulces
Ingeniería Mecatrónica,Hombre,Sí,Efectivo,Snacks,2,3,4.5,10,5.5,1.65,69,19,1,Productos dulces
Ingeniería Industrial,Hombre,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingeniería Electrónica,Hombre,Sí,Efectivo,Bebidas calientes,2,4,5,15,7,1.76,80,22,2,Productos dulces
Ciencia de la Computación,Hombre,Sí,Efectivo,Snacks,3,3,4,5,5,1.74,56,17,2,Productos salados
Ingeniería Mecatrónica,Hombre,Sí,Tarjeta,Bebidas frías y gaseosas,3,4,4,10,7,1.77,67,18,2,Productos dulces
Ingeniería Industrial,Hombre,Sí,Tarjeta,Snacks,5,3,5,10,4,1.8,92.4,20,3,Productos salados
Ingeniería Mecatrónica,Hombre,Sí,Efectivo,Snacks,2,3,4,10,5.5,1.65,69,19,2,Productos dulces
Ingeniería Industrial,Hombre,Sí,App,Snacks,4,4,40,4.5,50,1.78,72,18,6,Productos dulces
Ingeniería Ambiental,Hombre,Sí,Las 3 anteriores,Snacks,3,3,5,8,5,1.69,75,22,2,Productos dulces
Ingeniería Industrial,Hombre,Sí,Efectivo,Snacks,3,4,3,50,5,1.63,67,18,2,Productos salados
Ingeniería Industrial,Hombre,Sí,Efectivo,Bebidas frías y gaseosas,3,2,5,25,10,1.81,98,23,2,Productos salados
Ingeniería Mecánica,Mujer,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingeniería Mecánica,Hombre,Sí,App,Snacks,3,3,5,10,6,1.7,55,18,3,Productos salados
Ingeniería Industrial,Hombre,Sí,App,Snacks,4,3,2.4,5,5,1.69,60,17,2,Productos salados
Bioingeniería,Hombre,Sí,Efectivo,Snacks,3,2,6,20,6,1.78,80,18,3,Productos dulces
Ingeniería Mecatrónica,Hombre,Sí,Efectivo,Snacks,4,3,2,10,2.5,1.67,80,19,1,Productos dulces
Ciencia de la Computación,Hombre,Sí,Efectivo,Snacks,4,3,5,20,10,1.66,70,24,3,Productos dulces
Ingeniería Electrónica,Hombre,Sí,Efectivo,Snacks,4,5,5,20,5,1.8,70,18,2,Productos salados
Ciencia de la Computación,Hombre,Sí,Efectivo,Snacks,3,3,4,10,3,1.66,55,17,2,Productos salados
Ingeniería Industrial,Hombre,Sí,App,Bebidas frías y gaseosas,4,3,7.2,30,30,1.71,59,18,2,Productos salados
Ingeniería Mecatrónica,Hombre,Sí,Efectivo,Snacks,3,4,5,20,10,1.73,75,19,1,Productos dulces
Ciencia de la Computación,Mujer,Sí,Efectivo,Snacks,4,4,4,10,5,1.65,78,18,2,Productos salados
Ingeniería Mecatrónica,Mujer,Sí,Efectivo,Snacks,4,4,5,20,10,1.56,55,17,2,Productos dulces
Ingeniería Mecánica,Hombre,Sí,App,Snacks,3,4,2,60,10,1.69,78,20,1,Productos salados
Ciencia de la Computación,Hombre,Sí,Efectivo,Bebidas frías y gaseosas,4,3,5,20,10,1.68,70,18,2,Productos salados
Bioingeniería,Hombre,Sí,Tarjeta,Snacks,3,3,8,10,8,1.77,70,20,1,Productos salados
Ingeniería Mecatrónica,Hombre,Sí,Efectivo,Snacks,4,4,2,5,4,1.76,67.5,19,2,Productos dulces
Bioingeniería,Hombre,Sí,Tarjeta,Snacks,2,3,16,50,20,1.8,86,19,6,Productos dulces
Ciencia de la Computación,Hombre,Sí,Efectivo,Snacks,3,4,3,20,4,1.65,65,19,1,Productos dulces
Administración y Negocios Digitales,Mujer,Sí,Efectivo,Snacks,3,3,3,5,3,1.58,57,20,2,Productos salados
Ingeniería Ambiental,Hombre,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bioingeniería,Hombre,Sí,Efectivo,Snacks,3,4,8,30,17,1.78,58,19,4,Productos dulces
Ingeniería Mecatrónica,Hombre,Sí,App,Snacks,3,3,1,15,5,1.83,87,20,1,Productos salados
Ingeniería Electrónica,Hombre,Sí,Efectivo,Snacks,4,4,5,4,6,1.68,60,21,2,Productos dulces
Ciencia de la Computación,Hombre,Sí,Tarjeta,Bebidas frías y gaseosas,3,3,10,50,4,1.75,65,18,1,Productos dulces
Ciencia de la Computación,Hombre,Sí,Efectivo,Bebidas frías y gaseosas,4,5,4,20,10,1.72,61,19,2,Productos dulces
Bioingeniería,Mujer,Sí,Efectivo,Snacks,2,3,1.2,10,5,1.7,65,19,1,Productos dulces
Bioingeniería,Mujer,Sí,App,Snacks,3,4,7,20,10,1.73,80,20,3,Productos dulces
Ingeniería de la Energía,Hombre,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingeniería Ambiental,Mujer,Sí,Efectivo,Snacks,3,4,5,20,10,1.62,57,21,1,Productos salados
Ciencia de la Computación,Hombre,Sí,Efectivo,Snacks,3,3,15.2,20,5,1.71,70,18,2,Productos dulces
Ingeniería Industrial,Hombre,Sí,Tarjeta,Snacks,3,4,3,10,5,1.81,86,22,1,Productos dulces
Administración y Negocios Digitales,Otro,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciencia de la Computación,Hombre,Sí,Efectivo,Snacks,2,3,5,20,10,1.76,82,20,1,Productos salados
Ingeniería Mecatrónica,Hombre,Sí,App,Bebidas frías y gaseosas,4,3,5,10,5,1.83,73,19,2,Productos salados
Administración y Negocios Digitales,Mujer,Sí,App,Bebidas calientes,3,4,5,20,10,1.58,48,19,2,Productos dulces
Bioingeniería,Hombre,Sí,Tarjeta,Snacks,4,3,2,20,6,1.65,72,20,1,Productos dulces
Bioingeniería,Mujer,Sí,Tarjeta,Bebidas calientes,2,2,15,35,15,1.53,69,19,3,Productos dulces
Ciencia de la Computación,Hombre,Sí,Efectivo,Snacks,3,4,4,10,5,1.58,60,22,2,Productos dulces
Administración y Negocios Digitales,Hombre,Sí,Efectivo,Bebidas calientes,3,3,5,5,5,1.7,60,18,2,Productos dulces
Ingeniería Mecatrónica,Hombre,Sí,Tarjeta,Snacks,4,4,5,10,10,1.73,60,18,2,Productos salados
Ciencia de la Computación,Hombre,Sí,Efectivo,Snacks,3,4,8,12,10,1.65,44,18,2,Productos salados
Ingeniería de la Energía,Hombre,Sí,Efectivo,Snacks,3,4,8,10,10,1.72,80,23,1,Productos salados
Bioingeniería,Mujer,Sí,Tarjeta,Bebidas calientes,4,2,3.5,10,4.5,1.67,68,19,2,Productos dulces
Ingeniería Química,Hombre,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingeniería Mecatrónica,Mujer,Sí,App,Bebidas calientes,2,4,5,20,10,1.6,60,19,2,Productos dulces
Bioingeniería,Mujer,Sí,Tarjeta,Snacks,3,4,6,15,3,1.62,56,19,1,Productos dulces
Ingeniería Química,Mujer,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ciencia de la Computación,Hombre,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingeniería Industrial,Mujer,Sí,Efectivo,Bebidas calientes,2,3,0,0,20,1.6,61,22,3,Productos dulces
Ingeniería Mecatrónica,Hombre,Sí,App,Bebidas frías y gaseosas,4,2,5,45,5,1.77,68,18,1,Productos salados
Ingeniería Ambiental,Hombre,Sí,Efectivo,Snacks,5,4,2,22,10,1.88,110,21,1,Productos dulces
Ingeniería Química,Mujer,Sí,Efectivo,Bebidas calientes,4,5,15,30,15,1.06,60,23,4,Productos dulces
Ingeniería Mecánica,Hombre,Sí,Efectivo,Snacks,4,3,5,10,5,1.72,71,19,2,Productos dulces
Bioingeniería,Mujer,Sí,Efectivo,Snacks,3,3,5,20,10,1.62,68,18,2,Productos dulces
Ciencia de la Computación,Hombre,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingeniería Mecánica,Hombre,Sí,Tarjeta,Bebidas calientes,5,4,10,20,5,1.63,65,18,3,Productos dulces
Administración y Negocios Digitales,Hombre,Sí,Efectivo,Bebidas frías y gaseosas,3,4,5,15,5,1.71,64,19,1,Productos salados
Ingeniería Mecánica,Hombre,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bioingeniería,Mujer,Sí,Yape,Snacks,2,2,6,30,10,1.58,1.56,18,2,Productos dulces
Ingeniería Ambiental,Hombre,Sí,Efectivo,Snacks,4,3,2,30,5,1.71,67,19,2,Productos salados
Ingeniería de la Energía,Hombre,Sí,App,Bebidas frías y gaseosas,4,3,6,20,5,1.7,65,19,2,Productos dulces
Ingeniería Mecánica,Hombre,Sí,Tarjeta,Snacks,4,2,15,25,20,1.7,85,20,7,Productos salados
Ingeniería de la Energía,Hombre,Sí,Efectivo,Snacks,3,4,4,20,8,1.69,66,19,3,Productos salados
